Antecedents,Consequents,Support,Confidence,Lift,Clinical Pattern Observation
"Diag1_Circulatory, Med_Insulin_Prescribed","Admission_Emergency, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.04,0.2685,1.4204,"Encounters with 'Diag1_Circulatory, Med_Insulin_Prescribed' frequently exhibit 'Admission_Emergency, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 1.42x baseline). Note: Association does not imply causation."
"A1C_High (>7/8), High_Lab_Procedures (>=50)",Med_Metformin_Prescribed,0.0205,0.2733,1.4199,"Encounters with 'A1C_High (>7/8), High_Lab_Procedures (>=50)' frequently exhibit 'Med_Metformin_Prescribed' (Lift: 1.42x baseline). Note: Association does not imply causation."
"A1C_High (>7/8), High_Lab_Procedures (>=50)","DiabetesMed_Yes, Med_Metformin_Prescribed",0.0205,0.2733,1.4199,"Encounters with 'A1C_High (>7/8), High_Lab_Procedures (>=50)' frequently exhibit 'DiabetesMed_Yes, Med_Metformin_Prescribed' (Lift: 1.42x baseline). Note: Association does not imply causation."
Med_Metformin_Prescribed,"A1C_High (>7/8), High_Lab_Procedures (>=50)",0.0205,0.1065,1.4199,"Encounters with 'Med_Metformin_Prescribed' frequently exhibit 'A1C_High (>7/8), High_Lab_Procedures (>=50)' (Lift: 1.42x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Med_Metformin_Prescribed","A1C_High (>7/8), High_Lab_Procedures (>=50)",0.0205,0.1065,1.4199,"Encounters with 'DiabetesMed_Yes, Med_Metformin_Prescribed' frequently exhibit 'A1C_High (>7/8), High_Lab_Procedures (>=50)' (Lift: 1.42x baseline). Note: Association does not imply causation."
"Diag1_Other, Stay_Long (>=7 days)",High_Lab_Procedures (>=50),0.0255,0.5604,1.4188,"Encounters with 'Diag1_Other, Stay_Long (>=7 days)' frequently exhibit 'High_Lab_Procedures (>=50)' (Lift: 1.42x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Stay_Long (>=7 days)","Admission_Emergency, High_Lab_Procedures (>=50)",0.062,0.3563,1.4168,"Encounters with 'DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Admission_Emergency, High_Lab_Procedures (>=50)' (Lift: 1.42x baseline). Note: Association does not imply causation."
"Admission_Emergency, High_Lab_Procedures (>=50)","DiabetesMed_Yes, Stay_Long (>=7 days)",0.062,0.2465,1.4168,"Encounters with 'Admission_Emergency, High_Lab_Procedures (>=50)' frequently exhibit 'DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 1.42x baseline). Note: Association does not imply causation."
A1C_High (>7/8),"Med_Change_Yes, Admission_Emergency",0.0385,0.3208,1.4165,"Encounters with 'A1C_High (>7/8)' frequently exhibit 'Med_Change_Yes, Admission_Emergency' (Lift: 1.42x baseline). Note: Association does not imply causation."
A1C_High (>7/8),"Med_Change_Yes, DiabetesMed_Yes, Admission_Emergency",0.0385,0.3208,1.4165,"Encounters with 'A1C_High (>7/8)' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, Admission_Emergency' (Lift: 1.42x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Admission_Emergency",A1C_High (>7/8),0.0385,0.17,1.4165,"Encounters with 'Med_Change_Yes, Admission_Emergency' frequently exhibit 'A1C_High (>7/8)' (Lift: 1.42x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, Admission_Emergency",A1C_High (>7/8),0.0385,0.17,1.4165,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, Admission_Emergency' frequently exhibit 'A1C_High (>7/8)' (Lift: 1.42x baseline). Note: Association does not imply causation."
A1C_High (>7/8),"Med_Insulin_Prescribed, Stay_Long (>=7 days)",0.0215,0.1792,1.4163,"Encounters with 'A1C_High (>7/8)' frequently exhibit 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' (Lift: 1.42x baseline). Note: Association does not imply causation."
A1C_High (>7/8),"Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)",0.0215,0.1792,1.4163,"Encounters with 'A1C_High (>7/8)' frequently exhibit 'Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 1.42x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Stay_Long (>=7 days)",A1C_High (>7/8),0.0215,0.17,1.4163,"Encounters with 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' frequently exhibit 'A1C_High (>7/8)' (Lift: 1.42x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)",A1C_High (>7/8),0.0215,0.17,1.4163,"Encounters with 'Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'A1C_High (>7/8)' (Lift: 1.42x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)","Admission_Emergency, DiabetesMed_Yes",0.0385,0.558,1.4162,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)' frequently exhibit 'Admission_Emergency, DiabetesMed_Yes' (Lift: 1.42x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, High_Lab_Procedures (>=50)",Med_Change_Yes,0.1885,0.6294,1.4159,"Encounters with 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes' (Lift: 1.42x baseline). Note: Association does not imply causation."
Med_Change_Yes,"DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.1885,0.4241,1.4159,"Encounters with 'Med_Change_Yes' frequently exhibit 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 1.42x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Stay_Long (>=7 days)",Med_Insulin_Prescribed,0.1265,0.727,1.4158,"Encounters with 'DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Med_Insulin_Prescribed' (Lift: 1.42x baseline). Note: Association does not imply causation."
Med_Insulin_Prescribed,"DiabetesMed_Yes, Stay_Long (>=7 days)",0.1265,0.2463,1.4158,"Encounters with 'Med_Insulin_Prescribed' frequently exhibit 'DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 1.42x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50), Med_Metformin_Prescribed","Diag1_Circulatory, DiabetesMed_Yes",0.0205,0.3106,1.4151,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50), Med_Metformin_Prescribed' frequently exhibit 'Diag1_Circulatory, DiabetesMed_Yes' (Lift: 1.42x baseline). Note: Association does not imply causation."
Med_Glyburide_Prescribed,"DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.043,0.4236,1.4145,"Encounters with 'Med_Glyburide_Prescribed' frequently exhibit 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 1.41x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, High_Lab_Procedures (>=50)",Med_Glyburide_Prescribed,0.043,0.1436,1.4145,"Encounters with 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Glyburide_Prescribed' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Diag1_Diabetes","Admission_Emergency, High_Lab_Procedures (>=50)",0.022,0.3548,1.4109,"Encounters with 'Med_Insulin_Prescribed, Diag1_Diabetes' frequently exhibit 'Admission_Emergency, High_Lab_Procedures (>=50)' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Diag1_Diabetes, DiabetesMed_Yes","Admission_Emergency, High_Lab_Procedures (>=50)",0.022,0.3548,1.4109,"Encounters with 'Med_Insulin_Prescribed, Diag1_Diabetes, DiabetesMed_Yes' frequently exhibit 'Admission_Emergency, High_Lab_Procedures (>=50)' (Lift: 1.41x baseline). Note: Association does not imply causation."
"A1C_High (>7/8), High_Lab_Procedures (>=50)",Med_Change_Yes,0.047,0.6267,1.4098,"Encounters with 'A1C_High (>7/8), High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes' (Lift: 1.41x baseline). Note: Association does not imply causation."
"A1C_High (>7/8), High_Lab_Procedures (>=50)","Med_Change_Yes, DiabetesMed_Yes",0.047,0.6267,1.4098,"Encounters with 'A1C_High (>7/8), High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes' (Lift: 1.41x baseline). Note: Association does not imply causation."
Med_Change_Yes,"A1C_High (>7/8), High_Lab_Procedures (>=50)",0.047,0.1057,1.4098,"Encounters with 'Med_Change_Yes' frequently exhibit 'A1C_High (>7/8), High_Lab_Procedures (>=50)' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes","A1C_High (>7/8), High_Lab_Procedures (>=50)",0.047,0.1057,1.4098,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes' frequently exhibit 'A1C_High (>7/8), High_Lab_Procedures (>=50)' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Readmitted_30d","Med_Insulin_Prescribed, High_Lab_Procedures (>=50)",0.0265,0.3136,1.4095,"Encounters with 'Med_Change_Yes, Readmitted_30d' frequently exhibit 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, Readmitted_30d","Med_Insulin_Prescribed, High_Lab_Procedures (>=50)",0.0265,0.3136,1.4095,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, Readmitted_30d' frequently exhibit 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Readmitted_30d","Med_Insulin_Prescribed, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.0265,0.3136,1.4095,"Encounters with 'Med_Change_Yes, Readmitted_30d' frequently exhibit 'Med_Insulin_Prescribed, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, High_Lab_Procedures (>=50)","Med_Change_Yes, Readmitted_30d",0.0265,0.1191,1.4095,"Encounters with 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, Readmitted_30d' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Med_Change_Yes, Readmitted_30d",0.0265,0.1191,1.4095,"Encounters with 'Med_Insulin_Prescribed, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, Readmitted_30d' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, High_Lab_Procedures (>=50)","Med_Change_Yes, DiabetesMed_Yes, Readmitted_30d",0.0265,0.1191,1.4095,"Encounters with 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, Readmitted_30d' (Lift: 1.41x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Diag1_Digestive","Med_Insulin_Prescribed, Admission_Emergency",0.0255,0.3953,1.4094,"Encounters with 'DiabetesMed_Yes, Diag1_Digestive' frequently exhibit 'Med_Insulin_Prescribed, Admission_Emergency' (Lift: 1.41x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Stay_Long (>=7 days)","Med_Change_Yes, Admission_Emergency",0.0555,0.319,1.4082,"Encounters with 'DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes, Admission_Emergency' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Admission_Emergency","DiabetesMed_Yes, Stay_Long (>=7 days)",0.0555,0.245,1.4082,"Encounters with 'Med_Change_Yes, Admission_Emergency' frequently exhibit 'DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Diag1_Other, DiabetesMed_Yes",Med_Metformin_Prescribed,0.034,0.2709,1.4074,"Encounters with 'Diag1_Other, DiabetesMed_Yes' frequently exhibit 'Med_Metformin_Prescribed' (Lift: 1.41x baseline). Note: Association does not imply causation."
Med_Metformin_Prescribed,"Diag1_Other, DiabetesMed_Yes",0.034,0.1766,1.4074,"Encounters with 'Med_Metformin_Prescribed' frequently exhibit 'Diag1_Other, DiabetesMed_Yes' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Stay_Long (>=7 days), Med_Insulin_Prescribed","Admission_Emergency, DiabetesMed_Yes",0.023,0.5542,1.4066,"Encounters with 'Diag1_Circulatory, Stay_Long (>=7 days), Med_Insulin_Prescribed' frequently exhibit 'Admission_Emergency, DiabetesMed_Yes' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Diag1_Genitourinary, DiabetesMed_Yes",High_Lab_Procedures (>=50),0.0225,0.5556,1.4065,"Encounters with 'Diag1_Genitourinary, DiabetesMed_Yes' frequently exhibit 'High_Lab_Procedures (>=50)' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed",Med_Metformin_Prescribed,0.0245,0.2707,1.4063,"Encounters with 'Med_Change_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed' frequently exhibit 'Med_Metformin_Prescribed' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed",Med_Metformin_Prescribed,0.0245,0.2707,1.4063,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed' frequently exhibit 'Med_Metformin_Prescribed' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed","DiabetesMed_Yes, Med_Metformin_Prescribed",0.0245,0.2707,1.4063,"Encounters with 'Med_Change_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed' frequently exhibit 'DiabetesMed_Yes, Med_Metformin_Prescribed' (Lift: 1.41x baseline). Note: Association does not imply causation."
Med_Metformin_Prescribed,"Med_Change_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed",0.0245,0.1273,1.4063,"Encounters with 'Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed' (Lift: 1.41x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Med_Metformin_Prescribed","Med_Change_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed",0.0245,0.1273,1.4063,"Encounters with 'DiabetesMed_Yes, Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed' (Lift: 1.41x baseline). Note: Association does not imply causation."
Med_Metformin_Prescribed,"Med_Change_Yes, DiabetesMed_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed",0.0245,0.1273,1.4063,"Encounters with 'Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, DiabetesMed_Yes, Admission_Emergency","Med_Change_Yes, Med_Metformin_Prescribed",0.0255,0.2257,1.406,"Encounters with 'Diag1_Circulatory, DiabetesMed_Yes, Admission_Emergency' frequently exhibit 'Med_Change_Yes, Med_Metformin_Prescribed' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Med_Metformin_Prescribed","Diag1_Circulatory, DiabetesMed_Yes, Admission_Emergency",0.0255,0.1589,1.406,"Encounters with 'Med_Change_Yes, Med_Metformin_Prescribed' frequently exhibit 'Diag1_Circulatory, DiabetesMed_Yes, Admission_Emergency' (Lift: 1.41x baseline). Note: Association does not imply causation."
"Med_Change_Yes, A1C_High (>7/8)",Stay_Long (>=7 days),0.0225,0.3147,1.4048,"Encounters with 'Med_Change_Yes, A1C_High (>7/8)' frequently exhibit 'Stay_Long (>=7 days)' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Med_Change_Yes, A1C_High (>7/8), DiabetesMed_Yes",Stay_Long (>=7 days),0.0225,0.3147,1.4048,"Encounters with 'Med_Change_Yes, A1C_High (>7/8), DiabetesMed_Yes' frequently exhibit 'Stay_Long (>=7 days)' (Lift: 1.40x baseline). Note: Association does not imply causation."
Stay_Long (>=7 days),"Med_Change_Yes, A1C_High (>7/8)",0.0225,0.1004,1.4048,"Encounters with 'Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes, A1C_High (>7/8)' (Lift: 1.40x baseline). Note: Association does not imply causation."
Stay_Long (>=7 days),"Med_Change_Yes, A1C_High (>7/8), DiabetesMed_Yes",0.0225,0.1004,1.4048,"Encounters with 'Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes, A1C_High (>7/8), DiabetesMed_Yes' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Insulin_Prescribed","Med_Change_Yes, Diag1_Circulatory",0.053,0.1889,1.4048,"Encounters with 'Admission_Emergency, Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, Diag1_Circulatory' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Admission_Emergency, DiabetesMed_Yes, Med_Insulin_Prescribed","Diag1_Circulatory, Med_Change_Yes",0.053,0.1889,1.4048,"Encounters with 'Admission_Emergency, DiabetesMed_Yes, Med_Insulin_Prescribed' frequently exhibit 'Diag1_Circulatory, Med_Change_Yes' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Insulin_Prescribed","Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes",0.053,0.1889,1.4048,"Encounters with 'Admission_Emergency, Med_Insulin_Prescribed' frequently exhibit 'Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Diag1_Circulatory","Admission_Emergency, Med_Insulin_Prescribed",0.053,0.3941,1.4048,"Encounters with 'Med_Change_Yes, Diag1_Circulatory' frequently exhibit 'Admission_Emergency, Med_Insulin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes","Admission_Emergency, Med_Insulin_Prescribed",0.053,0.3941,1.4048,"Encounters with 'Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes' frequently exhibit 'Admission_Emergency, Med_Insulin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Med_Change_Yes","Admission_Emergency, DiabetesMed_Yes, Med_Insulin_Prescribed",0.053,0.3941,1.4048,"Encounters with 'Diag1_Circulatory, Med_Change_Yes' frequently exhibit 'Admission_Emergency, DiabetesMed_Yes, Med_Insulin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Med_Change_Yes, A1C_High (>7/8), High_Lab_Procedures (>=50)","Admission_Emergency, DiabetesMed_Yes",0.026,0.5532,1.404,"Encounters with 'Med_Change_Yes, A1C_High (>7/8), High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, DiabetesMed_Yes' (Lift: 1.40x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Stay_Long (>=7 days), Readmitted_30d",Med_Insulin_Prescribed,0.0245,0.7206,1.4033,"Encounters with 'DiabetesMed_Yes, Stay_Long (>=7 days), Readmitted_30d' frequently exhibit 'Med_Insulin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Admission_Emergency",Med_Glyburide_Prescribed,0.0215,0.1424,1.4028,"Encounters with 'Diag1_Circulatory, Admission_Emergency' frequently exhibit 'Med_Glyburide_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Admission_Emergency","DiabetesMed_Yes, Med_Glyburide_Prescribed",0.0215,0.1424,1.4028,"Encounters with 'Diag1_Circulatory, Admission_Emergency' frequently exhibit 'DiabetesMed_Yes, Med_Glyburide_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
Med_Glyburide_Prescribed,"Diag1_Circulatory, Admission_Emergency",0.0215,0.2118,1.4028,"Encounters with 'Med_Glyburide_Prescribed' frequently exhibit 'Diag1_Circulatory, Admission_Emergency' (Lift: 1.40x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Med_Glyburide_Prescribed","Diag1_Circulatory, Admission_Emergency",0.0215,0.2118,1.4028,"Encounters with 'DiabetesMed_Yes, Med_Glyburide_Prescribed' frequently exhibit 'Diag1_Circulatory, Admission_Emergency' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Readmitted_30d","DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.0355,0.4201,1.4027,"Encounters with 'Med_Change_Yes, Readmitted_30d' frequently exhibit 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 1.40x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, High_Lab_Procedures (>=50)","Med_Change_Yes, Readmitted_30d",0.0355,0.1185,1.4027,"Encounters with 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, Readmitted_30d' (Lift: 1.40x baseline). Note: Association does not imply causation."
A1C_High (>7/8),"Med_Change_Yes, Med_Metformin_Prescribed",0.027,0.225,1.4019,"Encounters with 'A1C_High (>7/8)' frequently exhibit 'Med_Change_Yes, Med_Metformin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
A1C_High (>7/8),"Med_Change_Yes, DiabetesMed_Yes, Med_Metformin_Prescribed",0.027,0.225,1.4019,"Encounters with 'A1C_High (>7/8)' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, Med_Metformin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Med_Metformin_Prescribed",A1C_High (>7/8),0.027,0.1682,1.4019,"Encounters with 'Med_Change_Yes, Med_Metformin_Prescribed' frequently exhibit 'A1C_High (>7/8)' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, Med_Metformin_Prescribed",A1C_High (>7/8),0.027,0.1682,1.4019,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, Med_Metformin_Prescribed' frequently exhibit 'A1C_High (>7/8)' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Admission_Emergency, DiabetesMed_Yes, Diag1_Respiratory",Med_Change_Yes,0.0405,0.6231,1.4017,"Encounters with 'Admission_Emergency, DiabetesMed_Yes, Diag1_Respiratory' frequently exhibit 'Med_Change_Yes' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, A1C_High (>7/8), DiabetesMed_Yes",Med_Insulin_Prescribed,0.0205,0.7193,1.4008,"Encounters with 'Diag1_Circulatory, A1C_High (>7/8), DiabetesMed_Yes' frequently exhibit 'Med_Insulin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
"High_Lab_Procedures (>=50), Diag1_Digestive",Admission_Emergency,0.03,0.75,1.4006,"Encounters with 'High_Lab_Procedures (>=50), Diag1_Digestive' frequently exhibit 'Admission_Emergency' (Lift: 1.40x baseline). Note: Association does not imply causation."
"High_Lab_Procedures (>=50), Med_Metformin_Prescribed","Diag1_Circulatory, DiabetesMed_Yes",0.0235,0.3072,1.3995,"Encounters with 'High_Lab_Procedures (>=50), Med_Metformin_Prescribed' frequently exhibit 'Diag1_Circulatory, DiabetesMed_Yes' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, DiabetesMed_Yes","High_Lab_Procedures (>=50), Med_Metformin_Prescribed",0.0235,0.1071,1.3995,"Encounters with 'Diag1_Circulatory, DiabetesMed_Yes' frequently exhibit 'High_Lab_Procedures (>=50), Med_Metformin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",Med_Metformin_Prescribed,0.0245,0.2692,1.3986,"Encounters with 'Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' frequently exhibit 'Med_Metformin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, Med_Insulin_Prescribed, High_Lab_Procedures (>=50), DiabetesMed_Yes",Med_Metformin_Prescribed,0.0245,0.2692,1.3986,"Encounters with 'Admission_Emergency, Med_Change_Yes, Med_Insulin_Prescribed, High_Lab_Procedures (>=50), DiabetesMed_Yes' frequently exhibit 'Med_Metformin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed","DiabetesMed_Yes, Med_Metformin_Prescribed",0.0245,0.2692,1.3986,"Encounters with 'Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' frequently exhibit 'DiabetesMed_Yes, Med_Metformin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
Med_Metformin_Prescribed,"Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",0.0245,0.1273,1.3986,"Encounters with 'Med_Metformin_Prescribed' frequently exhibit 'Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Med_Metformin_Prescribed","Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",0.0245,0.1273,1.3986,"Encounters with 'DiabetesMed_Yes, Med_Metformin_Prescribed' frequently exhibit 'Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
Med_Metformin_Prescribed,"Admission_Emergency, Med_Change_Yes, Med_Insulin_Prescribed, High_Lab_Procedures (>=50), DiabetesMed_Yes",0.0245,0.1273,1.3986,"Encounters with 'Med_Metformin_Prescribed' frequently exhibit 'Admission_Emergency, Med_Change_Yes, Med_Insulin_Prescribed, High_Lab_Procedures (>=50), DiabetesMed_Yes' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Admission_Emergency, DiabetesMed_Yes, Readmitted_30d","Med_Insulin_Prescribed, High_Lab_Procedures (>=50)",0.021,0.3111,1.3983,"Encounters with 'Admission_Emergency, DiabetesMed_Yes, Readmitted_30d' frequently exhibit 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' (Lift: 1.40x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Stay_Long (>=7 days)","Admission_Emergency, Med_Change_Yes, Med_Insulin_Prescribed",0.0445,0.2557,1.3975,"Encounters with 'DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Admission_Emergency, Med_Change_Yes, Med_Insulin_Prescribed' (Lift: 1.40x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, Med_Insulin_Prescribed","DiabetesMed_Yes, Stay_Long (>=7 days)",0.0445,0.2432,1.3975,"Encounters with 'Admission_Emergency, Med_Change_Yes, Med_Insulin_Prescribed' frequently exhibit 'DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 1.40x baseline). Note: Association does not imply causation."
